Sample,N,I,S,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.25,9928,2482,6888,2654,2527,1219,389,80,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,9928,99,9758,9387,363,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,9928,248,9512,8591,883,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,9928,496,8993,7372,1470,137,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,9928,745,8525,6380,1834,275,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,9928,993,8024,5482,2085,400,49,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,9928,1241,7411,4600,2223,492,79,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,9928,1489,6684,3776,2145,635,109,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,9928,99,9813,9408,395,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,9928,248,9635,8718,871,43,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,9928,496,9339,7620,1570,133,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,9928,745,9029,6685,2028,285,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,9928,993,8727,5871,2367,421,61,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,9928,1241,8396,5104,2578,619,83,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,9928,1489,8075,4470,2690,741,148,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,9928,2482,6774,2616,2535,1133,396,78,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,9928,99,9768,9376,387,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,9928,248,9564,8697,825,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,9928,496,9198,7558,1491,139,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,9928,745,8855,6565,1962,296,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
