N,ave_k,sample,susceptible neighbours,S at time of sample,num 1s,num 2s,num 3s,num 4s,num 5 or more
9926.0,4.9732016925246825,0.15,3706.0,8209.0,2715.0,803.0,161.0,25.0,2.0
9926.0,4.9732016925246825,0.01,438.0,9821.0,431.0,7.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,956.0,9657.0,916.0,38.0,2.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1705.0,9374.0,1569.0,128.0,7.0,1.0,0.0
9926.0,4.9732016925246825,0.075,2325.0,9092.0,2027.0,266.0,29.0,3.0,0.0
9926.0,4.9732016925246825,0.1,2830.0,8802.0,2323.0,438.0,65.0,4.0,0.0
9926.0,4.9732016925246825,0.125,3281.0,8511.0,2539.0,629.0,98.0,14.0,1.0
9926.0,4.9732016925246825,0.15,3597.0,8206.0,2628.0,798.0,140.0,27.0,4.0
9926.0,4.9732016925246825,0.01,367.0,9808.0,361.0,6.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,914.0,9634.0,873.0,41.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1705.0,9351.0,1539.0,157.0,8.0,1.0,0.0
9926.0,4.9732016925246825,0.075,2329.0,9054.0,2005.0,290.0,32.0,2.0,0.0
9926.0,4.9732016925246825,0.1,2907.0,8762.0,2399.0,448.0,54.0,6.0,0.0
9926.0,4.9732016925246825,0.125,3335.0,8466.0,2621.0,597.0,97.0,19.0,1.0
9926.0,4.9732016925246825,0.15,3641.0,8161.0,2716.0,766.0,128.0,27.0,4.0
9926.0,4.9732016925246825,0.01,366.0,9795.0,357.0,9.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,888.0,9585.0,852.0,36.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1669.0,9249.0,1522.0,144.0,3.0,0.0,0.0
9926.0,4.9732016925246825,0.075,2304.0,8912.0,2012.0,267.0,24.0,1.0,0.0
9926.0,4.9732016925246825,0.1,2823.0,8572.0,2326.0,426.0,66.0,5.0,0.0
9926.0,4.9732016925246825,0.125,3151.0,8206.0,2460.0,588.0,87.0,15.0,1.0
9926.0,4.9732016925246825,0.15,3408.0,7830.0,2525.0,728.0,133.0,19.0,3.0
9926.0,4.9732016925246825,0.01,402.0,9814.0,396.0,6.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,914.0,9631.0,876.0,37.0,1.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1706.0,9308.0,1549.0,145.0,11.0,1.0,0.0
